OBJ_ID,Dat_obs,Hr_obs,Nb_coyotes,Alimentation,Statut_animal,Periode,Comp_class,Com_code,Cote,Territoire,Statut_mention,Provenance,Verif,X,Y,Lat,Long,geometry
1511,"2019-03-25","10:25:00",3,,,"jour","inconnue",1,0,"Villeray—Saint-Michel—Parc-Extension","Valide","info-coyote","oui",294143.165,5047702.681,"45,56915215","-73,63653065",POINT (294143.165 5047702.681)
1512,"2019-03-25","10:25:00",3,,,"jour","1",2,1,"Villeray—Saint-Michel—Parc-Extension","Valide","info-coyote","oui",294152.9189,5047709.025,"45,56920939","-73,63640583",POINT (294152.9189 5047709.025)
1513,"2019-03-25","10:20:00",1,,,"jour","1",2,1,"Villeray—Saint-Michel—Parc-Extension","Valide","info-coyote","oui",293891.7135,5047848.297,"45,57045856","-73,63975538",POINT (293891.7135 5047848.297)
1514,"2019-03-19","13:00:00",1,,,"jour","inconnue",1,0,"Ahuntsic-Cartierville","Valide","info-coyote","oui",290825.8137,5045445.015,"45,5487783","-73,6789664",POINT (290825.8137 5045445.015)
1515,"2019-03-20","15:00:00",5,"autre",,"jour","inconnue",1,0,"Pierrefonds-Roxboro","Valide","formulaire","oui",271516.1742,5035528.387,"45,4588916","-73,9255858",POINT (271516.1742 5035528.387)
1516,"2019-03-27","08:45:00",1,,,"jour","1",2,1,"Saint-Léonard","Valide","info-coyote","oui",296678.9323,5049803.172,"45,5880872","-73,6040785",POINT (296678.9323 5049803.172)
1517,"2019-03-27","06:45:00",1,,,"crepuscule","inconnue",1,0,"Saint-Léonard","Valide","formulaire","oui",298629.9911,5050901.188,"45,5979875","-73,5790879",POINT (298629.9911 5050901.188)
1518,"2019-03-26","22:30:00",1,,,"nuit","inconnue",1,0,"Saint-Léonard","Valide","info-coyote","oui",297102.0366,5048776.034,"45,57884953","-73,59863987",POINT (297102.0366 5048776.034)
1519,"2019-03-27","07:10:00",1,,,"crepuscule","inconnue",1,0,"Saint-Léonard","Valide","info-coyote","oui",297118.8197,5050135.558,"45,5910831","-73,5984462",POINT (297118.8197 5050135.558)
1520,"2019-03-27","15:00:00",1,,,"jour","inconnue",1,0,"Saint-Léonard","Valide","info-coyote","oui",296234.86,5049451.908,"45,5849211","-73,6097635",POINT (296234.86 5049451.908)
1521,"2019-03-27","08:10:00",1,,,"jour","inconnue",1,0,"Saint-Léonard","Valide","info-coyote","oui",296662.102,5049782.761,"45,58790334","-73,60429385",POINT (296662.102 5049782.761)
1522,"2019-03-27","08:20:00",1,,,"jour","inconnue",1,0,"Saint-Léonard","Valide","info-coyote","oui",296234.86,5049451.908,"45,5849211","-73,6097635",POINT (296234.86 5049451.908)
1523,"2019-03-18","20:00:00",1,,,"crepuscule","inconnue",1,0,"Côte-des-Neiges—Notre-Dame-de-Grâce","Valide","formulaire","oui",294713.4712,5038170.801,"45,48338926","-73,62902793",POINT (294713.4712 5038170.801)
1524,"2019-03-28","09:15:00",1,,,"jour","inconnue",1,0,"Saint-Laurent","Valide","formulaire","oui",288049.0718,5040777.572,"45,50671787","-73,71436811",POINT (288049.0718 5040777.572)
1526,"2019-03-15","06:53:00",1,,,"crepuscule","inconnue",1,0,"Lachine","Valide","SPVM","oui",290218.5948,5033130.174,"45,43795202","-73,68637709",POINT (290218.5948 5033130.174)
1527,"2019-03-19","08:37:00",1,,,"jour","inconnue",1,0,"Ahuntsic-Cartierville","Valide","SPVM","oui",293191.6128,5046572.641,"45,55896849","-73,64869465",POINT (293191.6128 5046572.641)
1528,"2019-03-19","08:41:00",1,,,"jour","inconnue",1,0,"Ahuntsic-Cartierville","Valide","SPVM","oui",292479.7606,5046733.701,"45,56040553","-73,65781696",POINT (292479.7606 5046733.701)
1529,"2019-03-19","16:07:00",1,,,"jour","inconnue",1,0,"Ahuntsic-Cartierville","Valide","SPVM","oui",291822.3218,5046721.078,"45,56028","-73,6662381",POINT (291822.3218 5046721.078)
1530,"2019-03-24","20:59:00",1,,,"nuit","inconnue",1,0,"Villeray—Saint-Michel—Parc-Extension","Valide","SPVM","oui",293976.1061,5048021.899,"45,572022","-73,638678",POINT (293976.1061 5048021.899)
1531,"2019-03-30","08:15:00",1,"ordures",,"jour","1",2,1,"Villeray—Saint-Michel—Parc-Extension","Valide","info-coyote","oui",295047.9223,5048278.244,"45,57434451","-73,62495082",POINT (295047.9223 5048278.244)
1532,"2019-03-27","05:00:00",1,,,"nuit","2",4,2.6,"Mercier—Hochelaga-Maisonneuve","Valide","formulaire","oui",301534.3797,5052466.424,"45,61209162","-73,5418696",POINT (301534.3797 5052466.424)
1534,"2019-04-01","15:00:00",1,,,"jour","inconnue",1,0,"Rosemont—La Petite-Patrie","Valide","formulaire","oui",300265.424,5047999.228,"45,5718874","-73,5580978",POINT (300265.424 5047999.228)
1538,"2019-04-04","07:50:00",1,,,"jour","1",2,1,"Villeray—Saint-Michel—Parc-Extension","Valide","info-coyote","oui",295173.8868,5047873.616,"45,5707053","-73,6233289",POINT (295173.8868 5047873.616)
1539,"2019-04-05","07:30:00",1,"autre",,"jour","2",4,3,"Kirkland","Valide","info-coyote","oui",276444.9613,5035165.539,"45,455844","-73,862544",POINT (276444.9613 5035165.539)
1540,"2019-04-07","08:45:00",1,,,"jour","2",4,3,"Villeray—Saint-Michel—Parc-Extension","Valide","info-coyote","oui",294990.0493,5047496.522,"45,56730953","-73,62567664",POINT (294990.0493 5047496.522)
1541,"2019-04-06","22:00:00",3,,,"nuit","1",2,0.6,"Anjou","Valide","info-coyote","oui",301523.2925,5051347.177,"45,60202028","-73,54200423",POINT (301523.2925 5051347.177)
1542,"2019-04-05","21:00:00",1,"autre","mort","nuit","4",9,7.6,"L'Île-Bizard—Sainte-Geneviève","Valide","info-coyote","oui",274972.8147,5038360.37,"45,4845307","-73,8815602",POINT (274972.8147 5038360.37)
1544,"2019-03-25","10:17:00",1,,,"jour","1",2,1,"Villeray—Saint-Michel—Parc-Extension","Valide","SPVM","oui",294152.371,5047708.793,"45,5692073","-73,63641284",POINT (294152.371 5047708.793)
1545,"2019-03-27","07:17:00",1,,,"crepuscule","inconnue",1,0,"Saint-Léonard","Valide","SPVM","oui",297421.6457,5049990.736,"45,58978323","-73,59456283",POINT (297421.6457 5049990.736)
1547,"2019-03-27","15:29:00",1,,,"jour","2",4,3,"Saint-Léonard","Valide","SPVM","oui",296151.283,5049555.493,"45,58585216","-73,61083638",POINT (296151.283 5049555.493)
1548,"2019-04-02","09:00:00",1,,,"jour","inconnue",1,0,"Villeray—Saint-Michel—Parc-Extension","Valide","SPVM","oui",294928.4255,5047581.265,"45,56807119","-73,62646782",POINT (294928.4255 5047581.265)
1549,"2019-04-11","08:54:00",1,,,"jour","inconnue",1,0,"Villeray—Saint-Michel—Parc-Extension","Valide","info-coyote","oui",295039.0875,5047766.447,"45,56973908","-73,62505379",POINT (295039.0875 5047766.447)
1550,"2019-04-12","07:30:00",1,,,"jour","2",5,4,"Villeray—Saint-Michel—Parc-Extension","Valide","info-coyote","oui",295439.0638,5047886.966,"45,57082904","-73,61993174",POINT (295439.0638 5047886.966)
1551,"2019-04-12","07:25:00",1,,,"jour","inconnue",1,0,"Villeray—Saint-Michel—Parc-Extension","Valide","formulaire","oui",294953.4396,5047610.286,"45,56833269","-73,62614794",POINT (294953.4396 5047610.286)
1552,"2019-04-17","09:00:00",1,,,"jour","inconnue",1,0,"Kirkland","Valide","info-coyote","oui",275840.8176,5035025.588,"45,4545599","-73,8702601",POINT (275840.8176 5035025.588)
1554,"2019-04-16","11:00:00",1,"autre",,"jour","2",5,4,"L'Île-Bizard—Sainte-Geneviève","Valide","formulaire","oui",275329.0781,5039791.922,"45,4974273","-73,8770888",POINT (275329.0781 5039791.922)
1555,"2019-04-16","19:30:00",1,,,"crepuscule","inconnue",1,0,"Pierrefonds-Roxboro","Valide","formulaire","oui",273929.8171,5034796.168,"45,4524137","-73,8946784",POINT (273929.8171 5034796.168)
1556,"2019-03-31","06:15:00",1,,,"crepuscule","2",4,2.8,"Pierrefonds-Roxboro","Valide","formulaire","oui",272896.0597,5035370.193,"45,4575325","-73,907932",POINT (272896.0597 5035370.193)
1558,"2019-04-22","06:18:00",1,"autre",,"crepuscule","2",4,2.8,"Ahuntsic-Cartierville","Valide","info-coyote","oui",293798.0701,5048202.715,"45,57364624","-73,6409631",POINT (293798.0701 5048202.715)
